"","Pandemic","Diagnosis","Type","Diffdays","Counts"
"55","Non-pandemic","Influenza","Admission to Discharge",55,NA
"56","Non-pandemic","Influenza","Admission to Discharge",56,7.66666666666667
"57","Non-pandemic","Influenza","Admission to Discharge",57,NA
"58","Non-pandemic","Influenza","Admission to Discharge",58,NA
"59","Non-pandemic","Influenza","Admission to Discharge",59,NA
"60","Non-pandemic","Influenza","Admission to Discharge",60,NA
"61","Non-pandemic","Influenza","Admission to Discharge",61,5.66666666666667
"62","Non-pandemic","Influenza","Admission to Discharge",62,NA
"63","Non-pandemic","Influenza","Admission to Discharge",63,NA
"64","Non-pandemic","Influenza","Admission to Discharge",64,NA
"65","Non-pandemic","Influenza","Admission to Discharge",65,NA
"66","Non-pandemic","Influenza","Admission to Discharge",66,NA
"67","Non-pandemic","Influenza","Admission to Discharge",67,5.33333333333333
"68","Non-pandemic","Influenza","Admission to Discharge",68,NA
"69","Non-pandemic","Influenza","Admission to Discharge",69,5.33333333333333
"70","Non-pandemic","Influenza","Admission to Discharge",70,NA
"71","Non-pandemic","Influenza","Admission to Discharge",71,NA
"72","Non-pandemic","Influenza","Admission to Discharge",72,NA
"73","Non-pandemic","Influenza","Admission to Discharge",73,NA
"74","Non-pandemic","Influenza","Admission to Discharge",74,NA
"75","Non-pandemic","Influenza","Admission to Discharge",75,NA
"76","Non-pandemic","Influenza","Admission to Discharge",76,NA
"77","Non-pandemic","Influenza","Admission to Discharge",77,NA
"78","Non-pandemic","Influenza","Admission to Discharge",78,NA
"79","Non-pandemic","Influenza","Admission to Discharge",79,NA
"80","Non-pandemic","Influenza","Admission to Discharge",80,NA
"81","Non-pandemic","Influenza","Admission to Discharge",81,NA
"82","Non-pandemic","Influenza","Admission to Discharge",82,NA
"83","Non-pandemic","Influenza","Admission to Discharge",83,NA
"84","Non-pandemic","Influenza","Admission to Discharge",84,NA
"85","Non-pandemic","Influenza","Admission to Discharge",85,NA
"86","Non-pandemic","Influenza","Admission to Discharge",86,NA
"87","Non-pandemic","Influenza","Admission to Discharge",87,NA
"88","Non-pandemic","Influenza","Admission to Discharge",88,NA
"89","Non-pandemic","Influenza","Admission to Discharge",89,NA
"90","Non-pandemic","Influenza","Admission to Discharge",90,NA
"91","Non-pandemic","Influenza","Admission to Discharge",91,NA
"92","Non-pandemic","Influenza","Admission to Discharge",92,NA
"93","Non-pandemic","Influenza","Admission to Discharge",93,NA
"94","Non-pandemic","Influenza","Admission to Discharge",94,NA
"95","Non-pandemic","Influenza","Admission to Discharge",95,NA
"96","Non-pandemic","Influenza","Admission to Discharge",96,NA
"97","Non-pandemic","Influenza","Admission to Discharge",97,NA
"98","Non-pandemic","Influenza","Admission to Discharge",98,NA
"99","Non-pandemic","Influenza","Admission to Discharge",99,NA
"100","Non-pandemic","Influenza","Admission to Discharge",100,NA
"101","Non-pandemic","Influenza","Admission to Discharge",101,NA
"102","Non-pandemic","Influenza","Admission to Discharge",102,NA
"103","Non-pandemic","Influenza","Admission to Discharge",103,NA
"104","Non-pandemic","Influenza","Admission to Discharge",104,NA
"105","Non-pandemic","Influenza","Admission to Discharge",105,NA
"106","Non-pandemic","Influenza","Admission to Discharge",106,NA
"107","Non-pandemic","Influenza","Admission to Discharge",107,NA
"108","Non-pandemic","Influenza","Admission to Discharge",108,NA
"109","Non-pandemic","Influenza","Admission to Discharge",109,NA
"110","Non-pandemic","Influenza","Admission to Discharge",110,NA
"111","Non-pandemic","Influenza","Admission to Discharge",111,NA
"112","Non-pandemic","Influenza","Admission to Discharge",112,NA
"113","Non-pandemic","Influenza","Admission to Discharge",113,NA
"114","Non-pandemic","Influenza","Admission to Discharge",114,NA
"115","Non-pandemic","Influenza","Admission to Discharge",115,NA
"116","Non-pandemic","Influenza","Admission to Discharge",116,NA
"117","Non-pandemic","Influenza","Admission to Discharge",117,NA
"118","Non-pandemic","Influenza","Admission to Discharge",118,NA
"119","Non-pandemic","Influenza","Admission to Discharge",119,NA
"120","Non-pandemic","Influenza","Admission to Discharge",120,NA
"121","Non-pandemic","Influenza","Admission to Discharge",121,NA
"122","Non-pandemic","Influenza","Admission to Discharge",122,NA
"123","Non-pandemic","Influenza","Admission to Discharge",123,NA
"124","Non-pandemic","Influenza","Admission to Discharge",124,NA
"125","Non-pandemic","Influenza","Admission to Discharge",125,NA
"126","Non-pandemic","Influenza","Admission to Discharge",126,NA
"127","Non-pandemic","Influenza","Admission to Discharge",127,NA
"128","Non-pandemic","Influenza","Admission to Discharge",128,NA
"129","Non-pandemic","Influenza","Admission to Discharge",129,NA
"130","Non-pandemic","Influenza","Admission to Discharge",130,NA
"131","Non-pandemic","Influenza","Admission to Discharge",131,NA
"132","Non-pandemic","Influenza","Admission to Discharge",132,NA
"133","Non-pandemic","Influenza","Admission to Discharge",133,NA
"134","Non-pandemic","Influenza","Admission to Discharge",134,NA
"135","Non-pandemic","Influenza","Admission to Discharge",135,NA
"136","Non-pandemic","Influenza","Admission to Discharge",136,NA
"137","Non-pandemic","Influenza","Admission to Discharge",137,NA
"138","Non-pandemic","Influenza","Admission to Discharge",138,NA
"139","Non-pandemic","Influenza","Admission to Discharge",139,NA
"140","Non-pandemic","Influenza","Admission to Discharge",140,NA
"141","Non-pandemic","Influenza","Admission to Discharge",141,NA
"142","Non-pandemic","Influenza","Admission to Discharge",142,NA
"143","Non-pandemic","Influenza","Admission to Discharge",143,NA
"144","Non-pandemic","Influenza","Admission to Discharge",144,NA
"145","Non-pandemic","Influenza","Admission to Discharge",145,NA
"146","Non-pandemic","Influenza","Admission to Discharge",146,NA
"147","Non-pandemic","Influenza","Admission to Discharge",147,NA
"148","Non-pandemic","Influenza","Admission to Discharge",148,NA
"149","Non-pandemic","Influenza","Admission to Discharge",149,NA
"150","Non-pandemic","Influenza","Admission to Discharge",150,NA
"151","Non-pandemic","Influenza","Admission to Discharge",151,NA
"152","Non-pandemic","Influenza","Admission to Discharge",152,NA
"153","Non-pandemic","Influenza","Admission to Discharge",153,NA
"154","Non-pandemic","Influenza","Admission to Discharge",154,NA
"155","Non-pandemic","Influenza","Admission to Discharge",155,NA
"156","Non-pandemic","Influenza","Admission to Discharge",156,NA
"157","Non-pandemic","Influenza","Admission to Discharge",157,NA
"158","Non-pandemic","Influenza","Admission to Discharge",158,NA
"159","Non-pandemic","Influenza","Admission to Discharge",159,NA
"160","Non-pandemic","Influenza","Admission to Discharge",160,NA
"161","Non-pandemic","Influenza","Admission to Discharge",161,NA
"162","Non-pandemic","Influenza","Admission to Discharge",162,NA
"163","Non-pandemic","Influenza","Admission to Discharge",163,NA
"164","Non-pandemic","Influenza","Admission to Discharge",164,NA
"165","Non-pandemic","Influenza","Admission to Discharge",165,NA
"166","Non-pandemic","Influenza","Admission to Discharge",166,NA
"167","Non-pandemic","Influenza","Admission to Discharge",167,NA
"168","Non-pandemic","Influenza","Admission to Discharge",168,NA
"169","Non-pandemic","Influenza","Admission to Discharge",169,NA
"170","Non-pandemic","Influenza","Admission to Discharge",170,NA
"171","Non-pandemic","Influenza","Admission to Discharge",171,NA
"172","Non-pandemic","Influenza","Admission to Discharge",172,NA
"173","Non-pandemic","Influenza","Admission to Discharge",173,NA
"174","Non-pandemic","Influenza","Admission to Discharge",174,NA
"175","Non-pandemic","Influenza","Admission to Discharge",175,NA
"176","Non-pandemic","Influenza","Admission to Discharge",176,NA
"177","Non-pandemic","Influenza","Admission to Discharge",177,NA
"178","Non-pandemic","Influenza","Admission to Discharge",178,NA
"179","Non-pandemic","Influenza","Admission to Discharge",179,NA
"180","Non-pandemic","Influenza","Admission to Discharge",180,NA
"181","Non-pandemic","Influenza","Admission to Discharge",181,NA
"182","Non-pandemic","Influenza","Admission to Discharge",182,NA
"183","Non-pandemic","Influenza","Admission to Discharge",183,NA
"184","Non-pandemic","Influenza","Admission to Discharge",184,NA
"185","Non-pandemic","Influenza","Admission to Discharge",185,NA
"186","Non-pandemic","Influenza","Admission to Discharge",186,NA
"187","Non-pandemic","Influenza","Admission to Discharge",187,NA
"188","Non-pandemic","Influenza","Admission to Discharge",188,NA
"189","Non-pandemic","Influenza","Admission to Discharge",189,NA
"190","Non-pandemic","Influenza","Admission to Discharge",190,NA
"191","Non-pandemic","Influenza","Admission to Discharge",191,NA
"192","Non-pandemic","Influenza","Admission to Discharge",192,NA
"193","Non-pandemic","Influenza","Admission to Discharge",193,NA
"194","Non-pandemic","Influenza","Admission to Discharge",194,NA
"195","Non-pandemic","Influenza","Admission to Discharge",195,NA
"196","Non-pandemic","Influenza","Admission to Discharge",196,NA
"197","Non-pandemic","Influenza","Admission to Discharge",197,NA
"198","Non-pandemic","Influenza","Admission to Discharge",198,NA
"199","Non-pandemic","Influenza","Admission to Discharge",199,NA
"200","Non-pandemic","Influenza","Admission to Discharge",200,NA
"201","Non-pandemic","Influenza","Admission to Discharge",201,NA
"202","Non-pandemic","Influenza","Admission to Discharge",202,NA
"203","Non-pandemic","Influenza","Admission to Discharge",203,NA
"204","Non-pandemic","Influenza","Admission to Discharge",204,NA
"205","Non-pandemic","Influenza","Admission to Discharge",205,NA
"206","Non-pandemic","Influenza","Admission to Discharge",206,NA
"207","Non-pandemic","Influenza","Admission to Discharge",207,NA
"208","Non-pandemic","Influenza","Admission to Discharge",208,NA
"209","Non-pandemic","Influenza","Admission to Discharge",209,NA
"210","Non-pandemic","Influenza","Admission to Discharge",210,NA
"211","Non-pandemic","Influenza","Admission to Discharge",211,NA
"212","Non-pandemic","Influenza","Admission to Discharge",212,NA
"213","Non-pandemic","Influenza","Admission to Discharge",213,NA
"214","Non-pandemic","Influenza","Admission to Discharge",214,NA
"215","Non-pandemic","Influenza","Admission to Discharge",215,NA
"216","Non-pandemic","Influenza","Admission to Discharge",216,NA
"217","Non-pandemic","Influenza","Admission to Discharge",217,NA
"218","Non-pandemic","Influenza","Admission to Discharge",218,NA
"219","Non-pandemic","Influenza","Admission to Discharge",219,NA
"220","Non-pandemic","Influenza","Admission to Discharge",220,NA
"221","Non-pandemic","Influenza","Admission to Discharge",221,NA
"222","Non-pandemic","Influenza","Admission to Discharge",222,NA
"223","Non-pandemic","Influenza","Admission to Discharge",223,NA
"224","Non-pandemic","Influenza","Admission to Discharge",224,NA
"225","Non-pandemic","Influenza","Admission to Discharge",225,NA
"226","Non-pandemic","Influenza","Admission to Discharge",226,NA
"227","Non-pandemic","Influenza","Admission to Discharge",227,NA
"228","Non-pandemic","Influenza","Admission to Discharge",228,NA
"229","Non-pandemic","Influenza","Admission to Discharge",229,NA
"230","Non-pandemic","Influenza","Admission to Discharge",230,NA
"231","Non-pandemic","Influenza","Admission to Discharge",231,NA
"232","Non-pandemic","Influenza","Admission to Discharge",232,NA
"233","Non-pandemic","Influenza","Admission to Discharge",233,NA
"234","Non-pandemic","Influenza","Admission to Discharge",234,NA
"235","Non-pandemic","Influenza","Admission to Discharge",235,NA
"236","Non-pandemic","Influenza","Admission to Discharge",236,NA
"237","Non-pandemic","Influenza","Admission to Discharge",237,NA
"238","Non-pandemic","Influenza","Admission to Discharge",238,NA
"239","Non-pandemic","Influenza","Admission to Discharge",239,NA
"240","Non-pandemic","Influenza","Admission to Discharge",240,NA
"241","Non-pandemic","Influenza","Admission to Discharge",241,NA
"242","Non-pandemic","Influenza","Admission to Discharge",242,NA
"243","Non-pandemic","Influenza","Admission to Discharge",243,NA
"244","Non-pandemic","Influenza","Admission to Discharge",244,NA
"245","Non-pandemic","Influenza","Admission to Discharge",245,NA
"246","Non-pandemic","Influenza","Admission to Discharge",246,NA
"247","Non-pandemic","Influenza","Admission to Discharge",247,NA
"248","Non-pandemic","Influenza","Admission to Discharge",248,NA
"249","Non-pandemic","Influenza","Admission to Discharge",249,NA
"250","Non-pandemic","Influenza","Admission to Discharge",250,NA
"251","Non-pandemic","Influenza","Admission to Discharge",251,NA
"252","Non-pandemic","Influenza","Admission to Discharge",252,NA
"253","Non-pandemic","Influenza","Admission to Discharge",253,NA
"254","Non-pandemic","Influenza","Admission to Discharge",254,NA
"255","Non-pandemic","Influenza","Admission to Discharge",255,NA
"256","Non-pandemic","Influenza","Admission to Discharge",256,NA
"257","Non-pandemic","Influenza","Admission to Discharge",257,NA
"258","Non-pandemic","Influenza","Admission to Discharge",258,NA
"259","Non-pandemic","Influenza","Admission to Discharge",259,NA
"260","Non-pandemic","Influenza","Admission to Discharge",260,NA
"261","Non-pandemic","Influenza","Admission to Discharge",261,NA
"262","Non-pandemic","Influenza","Admission to Discharge",262,NA
"263","Non-pandemic","Influenza","Admission to Discharge",263,NA
"264","Non-pandemic","Influenza","Admission to Discharge",264,NA
"265","Non-pandemic","Influenza","Admission to Discharge",265,NA
"266","Non-pandemic","Influenza","Admission to Discharge",266,NA
"267","Non-pandemic","Influenza","Admission to Discharge",267,NA
"268","Non-pandemic","Influenza","Admission to Discharge",268,NA
"269","Non-pandemic","Influenza","Admission to Discharge",269,NA
"270","Non-pandemic","Influenza","Admission to Discharge",270,NA
"271","Non-pandemic","Influenza","Admission to Discharge",271,NA
"272","Non-pandemic","Influenza","Admission to Discharge",272,NA
"273","Non-pandemic","Influenza","Admission to Discharge",273,NA
"274","Non-pandemic","Influenza","Admission to Discharge",274,NA
"275","Non-pandemic","Influenza","Admission to Discharge",275,NA
"276","Non-pandemic","Influenza","Admission to Discharge",276,NA
"277","Non-pandemic","Influenza","Admission to Discharge",277,NA
"278","Non-pandemic","Influenza","Admission to Discharge",278,NA
"279","Non-pandemic","Influenza","Admission to Discharge",279,NA
"280","Non-pandemic","Influenza","Admission to Discharge",280,NA
"281","Non-pandemic","Influenza","Admission to Discharge",281,NA
"282","Non-pandemic","Influenza","Admission to Discharge",282,NA
"283","Non-pandemic","Influenza","Admission to Discharge",283,NA
"284","Non-pandemic","Influenza","Admission to Discharge",284,NA
"285","Non-pandemic","Influenza","Admission to Discharge",285,NA
"286","Non-pandemic","Influenza","Admission to Discharge",286,NA
"287","Non-pandemic","Influenza","Admission to Discharge",287,NA
"288","Non-pandemic","Influenza","Admission to Discharge",288,NA
"289","Non-pandemic","Influenza","Admission to Discharge",289,NA
"290","Non-pandemic","Influenza","Admission to Discharge",290,NA
"291","Non-pandemic","Influenza","Admission to Discharge",291,NA
"292","Non-pandemic","Influenza","Admission to Discharge",292,NA
"293","Non-pandemic","Influenza","Admission to Discharge",293,NA
"294","Non-pandemic","Influenza","Admission to Discharge",294,NA
"295","Non-pandemic","Influenza","Admission to Discharge",295,NA
"296","Non-pandemic","Influenza","Admission to Discharge",296,NA
"297","Non-pandemic","Influenza","Admission to Discharge",297,NA
"298","Non-pandemic","Influenza","Admission to Discharge",298,NA
"299","Non-pandemic","Influenza","Admission to Discharge",299,NA
"300","Non-pandemic","Influenza","Admission to Discharge",300,NA
"301","Non-pandemic","Influenza","Admission to Discharge",301,NA
"302","Non-pandemic","Influenza","Admission to Discharge",302,NA
"303","Non-pandemic","Influenza","Admission to Discharge",303,NA
"304","Non-pandemic","Influenza","Admission to Discharge",304,NA
"305","Non-pandemic","Influenza","Admission to Discharge",305,NA
"306","Non-pandemic","Influenza","Admission to Discharge",306,NA
"307","Non-pandemic","Influenza","Admission to Discharge",307,NA
"308","Non-pandemic","Influenza","Admission to Discharge",308,NA
"309","Non-pandemic","Influenza","Admission to Discharge",309,NA
"310","Non-pandemic","Influenza","Admission to Discharge",310,NA
"311","Non-pandemic","Influenza","Admission to Discharge",311,NA
"312","Non-pandemic","Influenza","Admission to Discharge",312,NA
"313","Non-pandemic","Influenza","Admission to Discharge",313,NA
"314","Non-pandemic","Influenza","Admission to Discharge",314,NA
"315","Non-pandemic","Influenza","Admission to Discharge",315,NA
"316","Non-pandemic","Influenza","Admission to Discharge",316,NA
"317","Non-pandemic","Influenza","Admission to Discharge",317,NA
"318","Non-pandemic","Influenza","Admission to Discharge",318,NA
"319","Non-pandemic","Influenza","Admission to Discharge",319,NA
"320","Non-pandemic","Influenza","Admission to Mortality",1,75.6666666666667
"321","Non-pandemic","Influenza","Admission to Mortality",2,63.6666666666667
"322","Non-pandemic","Influenza","Admission to Mortality",3,50
"323","Non-pandemic","Influenza","Admission to Mortality",4,51.3333333333333
"324","Non-pandemic","Influenza","Admission to Mortality",5,38.3333333333333
"325","Non-pandemic","Influenza","Admission to Mortality",6,34
"326","Non-pandemic","Influenza","Admission to Mortality",7,30.3333333333333
"327","Non-pandemic","Influenza","Admission to Mortality",8,26.6666666666667
"328","Non-pandemic","Influenza","Admission to Mortality",9,23.6666666666667
"329","Non-pandemic","Influenza","Admission to Mortality",10,22.6666666666667
"330","Non-pandemic","Influenza","Admission to Mortality",11,18
"331","Non-pandemic","Influenza","Admission to Mortality",12,13
"332","Non-pandemic","Influenza","Admission to Mortality",13,16
"333","Non-pandemic","Influenza","Admission to Mortality",14,15.3333333333333
"334","Non-pandemic","Influenza","Admission to Mortality",15,13.6666666666667
"335","Non-pandemic","Influenza","Admission to Mortality",16,12.3333333333333
"336","Non-pandemic","Influenza","Admission to Mortality",17,NA
"337","Non-pandemic","Influenza","Admission to Mortality",18,11.6666666666667
"338","Non-pandemic","Influenza","Admission to Mortality",19,10
"339","Non-pandemic","Influenza","Admission to Mortality",20,10
"340","Non-pandemic","Influenza","Admission to Mortality",21,10.6666666666667
"341","Non-pandemic","Influenza","Admission to Mortality",22,NA
"342","Non-pandemic","Influenza","Admission to Mortality",23,7.33333333333333
"343","Non-pandemic","Influenza","Admission to Mortality",24,7.33333333333333
"344","Non-pandemic","Influenza","Admission to Mortality",25,9
"345","Non-pandemic","Influenza","Admission to Mortality",26,NA
"346","Non-pandemic","Influenza","Admission to Mortality",27,NA
"347","Non-pandemic","Influenza","Admission to Mortality",28,8.33333333333333
"348","Non-pandemic","Influenza","Admission to Mortality",29,NA
"349","Non-pandemic","Influenza","Admission to Mortality",30,NA
"350","Non-pandemic","Influenza","Admission to Mortality",31,NA
"351","Non-pandemic","Influenza","Admission to Mortality",32,8.33333333333333
"352","Non-pandemic","Influenza","Admission to Mortality",33,NA
"353","Non-pandemic","Influenza","Admission to Mortality",34,6
"354","Non-pandemic","Influenza","Admission to Mortality",35,NA
"355","Non-pandemic","Influenza","Admission to Mortality",36,NA
"356","Non-pandemic","Influenza","Admission to Mortality",37,NA
"357","Non-pandemic","Influenza","Admission to Mortality",38,NA
"358","Non-pandemic","Influenza","Admission to Mortality",39,NA
"359","Non-pandemic","Influenza","Admission to Mortality",40,NA
"360","Non-pandemic","Influenza","Admission to Mortality",41,NA
"361","Non-pandemic","Influenza","Admission to Mortality",42,NA
"362","Non-pandemic","Influenza","Admission to Mortality",43,NA
"363","Non-pandemic","Influenza","Admission to Mortality",44,NA
"364","Non-pandemic","Influenza","Admission to Mortality",45,NA
"365","Non-pandemic","Influenza","Admission to Mortality",46,NA
"366","Non-pandemic","Influenza","Admission to Mortality",47,NA
"367","Non-pandemic","Influenza","Admission to Mortality",48,NA
"368","Non-pandemic","Influenza","Admission to Mortality",49,NA
"369","Non-pandemic","Influenza","Admission to Mortality",50,NA
"370","Non-pandemic","Influenza","Admission to Mortality",51,NA
"371","Non-pandemic","Influenza","Admission to Mortality",52,NA
"372","Non-pandemic","Influenza","Admission to Mortality",53,NA
"373","Non-pandemic","Influenza","Admission to Mortality",54,NA
"374","Non-pandemic","Influenza","Admission to Mortality",55,NA
"375","Non-pandemic","Influenza","Admission to Mortality",56,NA
"376","Non-pandemic","Influenza","Admission to Mortality",57,NA
"377","Non-pandemic","Influenza","Admission to Mortality",58,NA
"378","Non-pandemic","Influenza","Admission to Mortality",59,NA
"379","Non-pandemic","Influenza","Admission to Mortality",60,NA
"380","Non-pandemic","Influenza","Admission to Mortality",61,NA
"381","Non-pandemic","Influenza","Admission to Mortality",62,NA
"382","Non-pandemic","Influenza","Admission to Mortality",63,NA
"383","Non-pandemic","Influenza","Admission to Mortality",64,NA
"384","Non-pandemic","Influenza","Admission to Mortality",65,NA
"385","Non-pandemic","Influenza","Admission to Mortality",66,NA
"386","Non-pandemic","Influenza","Admission to Mortality",67,NA
"387","Non-pandemic","Influenza","Admission to Mortality",68,NA
"388","Non-pandemic","Influenza","Admission to Mortality",69,NA
"389","Non-pandemic","Influenza","Admission to Mortality",70,NA
"390","Non-pandemic","Influenza","Admission to Mortality",71,NA
"391","Non-pandemic","Influenza","Admission to Mortality",72,NA
"392","Non-pandemic","Influenza","Admission to Mortality",73,NA
"393","Non-pandemic","Influenza","Admission to Mortality",74,NA
"394","Non-pandemic","Influenza","Admission to Mortality",75,NA
"395","Non-pandemic","Influenza","Admission to Mortality",76,NA
"396","Non-pandemic","Influenza","Admission to Mortality",77,NA
"397","Non-pandemic","Influenza","Admission to Mortality",78,NA
"398","Non-pandemic","Influenza","Admission to Mortality",79,NA
"399","Non-pandemic","Influenza","Admission to Mortality",80,NA
"400","Non-pandemic","Influenza","Admission to Mortality",81,NA
"401","Non-pandemic","Influenza","Admission to Mortality",82,NA
"402","Non-pandemic","Influenza","Admission to Mortality",83,NA
"403","Non-pandemic","Influenza","Admission to Mortality",84,NA
"404","Non-pandemic","Influenza","Admission to Mortality",85,NA
"405","Non-pandemic","Influenza","Admission to Mortality",86,NA
"406","Non-pandemic","Influenza","Admission to Mortality",87,NA
"407","Non-pandemic","Influenza","Admission to Mortality",88,NA
"408","Non-pandemic","Influenza","Admission to Mortality",89,NA
"409","Non-pandemic","Influenza","Admission to Mortality",90,NA
"410","Non-pandemic","Influenza","Admission to Mortality",91,NA
"411","Non-pandemic","Influenza","Admission to Mortality",92,NA
"412","Non-pandemic","Influenza","Admission to Mortality",93,NA
"413","Non-pandemic","Influenza","Admission to Mortality",94,NA
"414","Non-pandemic","Influenza","Admission to Mortality",95,NA
"415","Non-pandemic","Influenza","Admission to Mortality",96,NA
"416","Non-pandemic","Influenza","Admission to Mortality",97,NA
"417","Non-pandemic","Influenza","Admission to Mortality",98,NA
"418","Non-pandemic","Influenza","Admission to Mortality",99,NA
"419","Non-pandemic","Influenza","Admission to Mortality",100,NA
"420","Non-pandemic","Influenza","Admission to Mortality",101,NA
"421","Non-pandemic","Influenza","Admission to Mortality",102,NA
"422","Non-pandemic","Influenza","Admission to Mortality",103,NA
"423","Non-pandemic","Influenza","Admission to Mortality",104,NA
"424","Non-pandemic","Influenza","Admission to Mortality",105,NA
"425","Non-pandemic","Influenza","Admission to Mortality",106,NA
"426","Non-pandemic","Influenza","Admission to Mortality",107,NA
"427","Non-pandemic","Influenza","Admission to Mortality",108,NA
"428","Non-pandemic","Influenza","Admission to Mortality",109,NA
"429","Non-pandemic","Influenza","Admission to Mortality",110,NA
"430","Non-pandemic","Influenza","Admission to Mortality",111,NA
"431","Non-pandemic","Influenza","Admission to Mortality",112,NA
"432","Non-pandemic","Influenza","Admission to Mortality",113,NA
"433","Non-pandemic","Influenza","Admission to Mortality",114,NA
"434","Non-pandemic","Influenza","Admission to Mortality",115,NA
"435","Non-pandemic","Influenza","Admission to Mortality",116,NA
"436","Non-pandemic","Influenza","Admission to Mortality",117,NA
"437","Non-pandemic","Influenza","Admission to Mortality",118,NA
"438","Non-pandemic","Influenza","Admission to Mortality",119,NA
"439","Non-pandemic","Influenza","Admission to Mortality",120,NA
"440","Non-pandemic","Influenza","Admission to Mortality",121,NA
"441","Non-pandemic","Influenza","Admission to Mortality",122,NA
"442","Non-pandemic","Influenza","Admission to Mortality",123,NA
"443","Non-pandemic","Influenza","Admission to Mortality",124,NA
"444","Non-pandemic","Influenza","Admission to Mortality",125,NA
"445","Non-pandemic","Influenza","Admission to Mortality",126,NA
"446","Non-pandemic","Influenza","Admission to Mortality",127,NA
"447","Non-pandemic","Influenza","Admission to Mortality",128,NA
"448","Non-pandemic","Influenza","Service to Admission",-730,NA
"449","Non-pandemic","Influenza","Service to Admission",-729,NA
"450","Non-pandemic","Influenza","Service to Admission",-728,NA
"451","Non-pandemic","Influenza","Service to Admission",-727,NA
"452","Non-pandemic","Influenza","Service to Admission",-726,NA
"453","Non-pandemic","Influenza","Service to Admission",-725,NA
"454","Non-pandemic","Influenza","Service to Admission",-724,NA
"455","Non-pandemic","Influenza","Service to Admission",-723,NA
"456","Non-pandemic","Influenza","Service to Admission",-722,NA
"457","Non-pandemic","Influenza","Service to Admission",-721,NA
