SVC_DT,n,DIAG,year
1/5/2007,2577,460,607
1/6/2007,1416,460,607
1/7/2007,902,460,607
1/8/2007,3176,460,607
1/9/2007,2510,460,607
1/10/2007,2215,460,607
1/11/2007,2617,460,607
1/12/2007,1994,460,607
1/13/2007,997,460,607
1/14/2007,611,460,607
1/15/2007,2085,460,607
1/16/2007,1937,460,607
1/17/2007,1756,460,607
1/18/2007,2059,460,607
1/19/2007,1680,460,607
1/20/2007,900,460,607
1/21/2007,638,460,607
1/22/2007,2365,460,607
1/23/2007,1959,460,607
1/24/2007,1771,460,607
1/25/2007,1760,460,607
1/26/2007,1678,460,607
1/27/2007,967,460,607
1/28/2007,630,460,607
1/29/2007,2431,460,607
1/30/2007,2047,460,607
1/31/2007,1832,460,607
2/1/2007,1982,460,607
2/2/2007,1709,460,607
2/3/2007,935,460,607
2/4/2007,729,460,607
2/5/2007,2148,460,607
2/6/2007,2153,460,607
2/7/2007,1862,460,607
2/8/2007,1949,460,607
2/9/2007,1657,460,607
2/10/2007,969,460,607
2/11/2007,706,460,607
2/12/2007,2316,460,607
2/13/2007,1890,460,607
2/14/2007,1256,460,607
2/15/2007,1950,460,607
2/16/2007,1680,460,607
2/17/2007,1026,460,607
2/18/2007,674,460,607
2/19/2007,2339,460,607
2/20/2007,2019,460,607
2/21/2007,1699,460,607
2/22/2007,1809,460,607
2/23/2007,1580,460,607
2/24/2007,951,460,607
2/25/2007,679,460,607
2/26/2007,2170,460,607
2/27/2007,1968,460,607
2/28/2007,1790,460,607
3/1/2007,1547,460,607
3/2/2007,1422,460,607
3/3/2007,1016,460,607
3/4/2007,690,460,607
3/5/2007,2429,460,607
3/6/2007,1799,460,607
3/7/2007,1768,460,607
3/8/2007,1813,460,607
3/9/2007,1633,460,607
3/10/2007,1002,460,607
3/11/2007,550,460,607
3/12/2007,2072,460,607
3/13/2007,1896,460,607
3/14/2007,1590,460,607
3/15/2007,1732,460,607
3/16/2007,1441,460,607
3/17/2007,821,460,607
3/18/2007,607,460,607
3/19/2007,2131,460,607
3/20/2007,1899,460,607
3/21/2007,1647,460,607
3/22/2007,1746,460,607
3/23/2007,1500,460,607
3/24/2007,841,460,607
3/25/2007,559,460,607
3/26/2007,1940,460,607
3/27/2007,1777,460,607
3/28/2007,1498,460,607
3/29/2007,1783,460,607
3/30/2007,1588,460,607
3/31/2007,851,460,607
4/1/2007,461,460,607
4/2/2007,1532,460,607
4/3/2007,1300,460,607
4/4/2007,1119,460,607
4/5/2007,1448,460,607
4/6/2007,335,460,607
4/7/2007,663,460,607
4/8/2007,344,460,607
4/9/2007,1342,460,607
4/10/2007,1584,460,607
4/11/2007,1361,460,607
4/12/2007,1411,460,607
4/13/2007,1197,460,607
4/14/2007,697,460,607
4/15/2007,444,460,607
4/16/2007,1700,460,607
4/17/2007,1406,460,607
4/18/2007,1275,460,607
4/19/2007,1312,460,607
4/20/2007,1141,460,607
4/21/2007,571,460,607
4/22/2007,338,460,607
4/23/2007,1583,460,607
4/24/2007,1314,460,607
4/25/2007,1234,460,607
4/26/2007,1242,460,607
4/27/2007,1058,460,607
4/28/2007,555,460,607
4/29/2007,342,460,607
4/30/2007,1606,460,607
5/1/2007,1309,460,607
5/2/2007,1136,460,607
5/3/2007,1221,460,607
5/4/2007,1092,460,607
5/5/2007,539,460,607
5/6/2007,386,460,607
5/7/2007,1487,460,607
5/8/2007,1387,460,607
5/9/2007,1041,460,607
5/10/2007,1142,460,607
5/11/2007,955,460,607
5/12/2007,494,460,607
5/13/2007,372,460,607
5/14/2007,1523,460,607
5/15/2007,1222,460,607
5/16/2007,1125,460,607
5/17/2007,1154,460,607
5/18/2007,928,460,607
5/19/2007,466,460,607
5/20/2007,369,460,607
5/21/2007,307,460,607
5/22/2007,1543,460,607
5/23/2007,1135,460,607
5/24/2007,1077,460,607
5/25/2007,966,460,607
5/26/2007,516,460,607
5/27/2007,375,460,607
5/28/2007,1274,460,607
5/29/2007,1020,460,607
5/30/2007,898,460,607
5/31/2007,935,460,607
6/1/2007,799,460,607
6/2/2007,432,460,607
6/3/2007,285,460,607
6/4/2007,1084,460,607
6/5/2007,978,460,607
6/6/2007,957,460,607
6/7/2007,1010,460,607
6/8/2007,779,460,607
6/9/2007,447,460,607
6/10/2007,318,460,607
6/11/2007,1210,460,607
6/12/2007,1000,460,607
6/13/2007,941,460,607
6/14/2007,947,460,607
6/15/2007,777,460,607
6/16/2007,452,460,607
6/17/2007,298,460,607
6/18/2007,1042,460,607
6/19/2007,911,460,607
6/20/2007,862,460,607
6/21/2007,930,460,607
6/22/2007,859,460,607
6/23/2007,431,460,607
6/24/2007,277,460,607
6/25/2007,1151,460,607
6/26/2007,889,460,607
6/27/2007,789,460,607
6/28/2007,927,460,607
6/29/2007,779,460,607
6/30/2007,396,460,607
7/1/2006,45,461,607
7/2/2006,34,461,607
7/3/2006,63,461,607
7/4/2006,209,461,607
7/5/2006,179,461,607
7/6/2006,167,461,607
7/7/2006,147,461,607
7/8/2006,76,461,607
7/9/2006,43,461,607
7/10/2006,195,461,607
7/11/2006,159,461,607
7/12/2006,142,461,607
7/13/2006,182,461,607
7/14/2006,120,461,607
7/15/2006,68,461,607
7/16/2006,29,461,607
7/17/2006,179,461,607
7/18/2006,164,461,607
7/19/2006,158,461,607
7/20/2006,148,461,607
7/21/2006,120,461,607
7/22/2006,43,461,607
7/23/2006,21,461,607
7/24/2006,159,461,607
7/25/2006,166,461,607
7/26/2006,142,461,607
7/27/2006,163,461,607
7/28/2006,98,461,607
7/29/2006,31,461,607
7/30/2006,34,461,607
7/31/2006,172,461,607
8/1/2006,119,461,607
8/2/2006,120,461,607
8/3/2006,130,461,607
8/4/2006,83,461,607
8/5/2006,51,461,607
8/6/2006,27,461,607
8/7/2006,33,461,607
8/8/2006,167,461,607
8/9/2006,159,461,607
8/10/2006,165,461,607
8/11/2006,114,461,607
8/12/2006,41,461,607
8/13/2006,29,461,607
8/14/2006,188,461,607
8/15/2006,141,461,607
8/16/2006,152,461,607
8/17/2006,152,461,607
8/18/2006,126,461,607
8/19/2006,49,461,607
8/20/2006,32,461,607
8/21/2006,147,461,607
8/22/2006,162,461,607
8/23/2006,146,461,607
8/24/2006,179,461,607
8/25/2006,116,461,607
8/26/2006,61,461,607
8/27/2006,34,461,607
8/28/2006,172,461,607
8/29/2006,180,461,607
8/30/2006,143,461,607
8/31/2006,132,461,607
9/1/2006,111,461,607
9/2/2006,48,461,607
9/3/2006,57,461,607
9/4/2006,28,461,607
9/5/2006,220,461,607
9/6/2006,156,461,607
9/7/2006,176,461,607
9/8/2006,158,461,607
9/9/2006,51,461,607
9/10/2006,42,461,607
9/11/2006,222,461,607
9/12/2006,202,461,607
9/13/2006,178,461,607
9/14/2006,208,461,607
9/15/2006,167,461,607
9/16/2006,92,461,607
9/17/2006,52,461,607
9/18/2006,213,461,607
9/19/2006,232,461,607
9/20/2006,207,461,607
9/21/2006,232,461,607
9/22/2006,197,461,607
9/23/2006,87,461,607
9/24/2006,55,461,607
9/25/2006,271,461,607
9/26/2006,278,461,607
9/27/2006,207,461,607
9/28/2006,245,461,607
9/29/2006,190,461,607
9/30/2006,94,461,607
10/1/2006,70,461,607
10/2/2006,247,461,607
10/3/2006,268,461,607
10/4/2006,184,461,607
10/5/2006,234,461,607
10/6/2006,207,461,607
10/7/2006,115,461,607
10/8/2006,54,461,607
10/9/2006,63,461,607
10/10/2006,382,461,607
10/11/2006,233,461,607
10/12/2006,296,461,607
10/13/2006,193,461,607
10/14/2006,110,461,607
10/15/2006,69,461,607
10/16/2006,334,461,607
10/17/2006,280,461,607
10/18/2006,240,461,607
10/19/2006,240,461,607
10/20/2006,189,461,607
10/21/2006,83,461,607
10/22/2006,57,461,607
10/23/2006,278,461,607
10/24/2006,284,461,607
10/25/2006,221,461,607
10/26/2006,261,461,607
10/27/2006,168,461,607
10/28/2006,85,461,607
10/29/2006,61,461,607
10/30/2006,315,461,607
10/31/2006,276,461,607
11/1/2006,262,461,607
11/2/2006,282,461,607
11/3/2006,178,461,607
11/4/2006,82,461,607
11/5/2006,84,461,607
11/6/2006,332,461,607
11/7/2006,312,461,607
11/8/2006,240,461,607
11/9/2006,256,461,607
11/10/2006,207,461,607
11/11/2006,115,461,607
11/12/2006,80,461,607
11/13/2006,347,461,607
11/14/2006,273,461,607
11/15/2006,246,461,607
11/16/2006,275,461,607
11/17/2006,207,461,607
11/18/2006,93,461,607
11/19/2006,74,461,607
11/20/2006,377,461,607
11/21/2006,321,461,607
11/22/2006,267,461,607
11/23/2006,284,461,607
11/24/2006,224,461,607
11/25/2006,112,461,607
11/26/2006,93,461,607
11/27/2006,326,461,607
11/28/2006,287,461,607
11/29/2006,236,461,607
11/30/2006,287,461,607
12/1/2006,231,461,607
12/2/2006,97,461,607
12/3/2006,72,461,607
12/4/2006,328,461,607
12/5/2006,317,461,607
12/6/2006,271,461,607
12/7/2006,269,461,607
12/8/2006,215,461,607
12/9/2006,112,461,607
12/10/2006,100,461,607
12/11/2006,369,461,607
12/12/2006,344,461,607
12/13/2006,317,461,607
12/14/2006,282,461,607
12/15/2006,278,461,607
12/16/2006,177,461,607
12/17/2006,104,461,607
12/18/2006,423,461,607
12/19/2006,404,461,607
12/20/2006,327,461,607
12/21/2006,368,461,607
12/22/2006,323,461,607
12/23/2006,136,461,607
12/24/2006,95,461,607
12/25/2006,43,461,607
12/26/2006,106,461,607
12/27/2006,274,461,607
12/28/2006,356,461,607
12/29/2006,326,461,607
12/30/2006,157,461,607
12/31/2006,144,461,607
1/1/2007,74,461,607
1/2/2007,536,461,607
1/3/2007,465,461,607
1/4/2007,441,461,607
1/5/2007,330,461,607
1/6/2007,205,461,607
1/7/2007,124,461,607
1/8/2007,447,461,607
1/9/2007,489,461,607
1/10/2007,341,461,607
1/11/2007,409,461,607
1/12/2007,291,461,607
1/13/2007,147,461,607
1/14/2007,116,461,607
1/15/2007,324,461,607
1/16/2007,374,461,607
1/17/2007,310,461,607
1/18/2007,357,461,607
1/19/2007,251,461,607
1/20/2007,125,461,607
1/21/2007,97,461,607
1/22/2007,375,461,607
1/23/2007,301,461,607
1/24/2007,292,461,607
1/25/2007,329,461,607
1/26/2007,252,461,607
1/27/2007,131,461,607
1/28/2007,87,461,607
1/29/2007,370,461,607
1/30/2007,324,461,607
1/31/2007,269,461,607
2/1/2007,341,461,607
2/2/2007,276,461,607
2/3/2007,147,461,607
2/4/2007,92,461,607
2/5/2007,345,461,607
2/6/2007,377,461,607
2/7/2007,306,461,607
2/8/2007,333,461,607
2/9/2007,285,461,607
2/10/2007,142,461,607
2/11/2007,107,461,607
2/12/2007,391,461,607
2/13/2007,385,461,607
2/14/2007,198,461,607
2/15/2007,318,461,607
2/16/2007,270,461,607
2/17/2007,131,461,607
2/18/2007,104,461,607
2/19/2007,345,461,607
2/20/2007,379,461,607
2/21/2007,310,461,607
2/22/2007,311,461,607
2/23/2007,280,461,607
2/24/2007,150,461,607
2/25/2007,120,461,607
2/26/2007,333,461,607
2/27/2007,344,461,607
2/28/2007,308,461,607
3/1/2007,279,461,607
3/2/2007,243,461,607
3/3/2007,159,461,607
3/4/2007,111,461,607
3/5/2007,370,461,607
3/6/2007,330,461,607
3/7/2007,272,461,607
3/8/2007,387,461,607
3/9/2007,256,461,607
3/10/2007,123,461,607
3/11/2007,110,461,607
3/12/2007,329,461,607
3/13/2007,306,461,607
3/14/2007,297,461,607
3/15/2007,252,461,607
3/16/2007,237,461,607
3/17/2007,123,461,607
3/18/2007,78,461,607
3/19/2007,331,461,607
3/20/2007,372,461,607
3/21/2007,312,461,607
3/22/2007,348,461,607
3/23/2007,243,461,607
3/24/2007,130,461,607
3/25/2007,58,461,607
3/26/2007,291,461,607
3/27/2007,303,461,607
3/28/2007,239,461,607
3/29/2007,285,461,607
3/30/2007,213,461,607
3/31/2007,121,461,607
4/1/2007,81,461,607
4/2/2007,222,461,607
4/3/2007,218,461,607
4/4/2007,196,461,607
4/5/2007,193,461,607
4/6/2007,38,461,607
4/7/2007,118,461,607
4/8/2007,47,461,607
4/9/2007,228,461,607
4/10/2007,257,461,607
4/11/2007,209,461,607
4/12/2007,225,461,607
4/13/2007,215,461,607
4/14/2007,91,461,607
4/15/2007,48,461,607
4/16/2007,270,461,607
4/17/2007,254,461,607
4/18/2007,207,461,607
4/19/2007,254,461,607
4/20/2007,182,461,607
4/21/2007,73,461,607
4/22/2007,63,461,607
4/23/2007,227,461,607
4/24/2007,212,461,607
4/25/2007,219,461,607
4/26/2007,210,461,607
4/27/2007,159,461,607
4/28/2007,68,461,607
4/29/2007,52,461,607
4/30/2007,222,461,607
5/1/2007,196,461,607
5/2/2007,167,461,607
5/3/2007,214,461,607
5/4/2007,173,461,607
5/5/2007,67,461,607
5/6/2007,56,461,607
5/7/2007,251,461,607
5/8/2007,217,461,607
5/9/2007,160,461,607
5/10/2007,180,461,607
5/11/2007,125,461,607
5/12/2007,53,461,607
5/13/2007,48,461,607
5/14/2007,214,461,607
5/15/2007,204,461,607
5/16/2007,152,461,607
5/17/2007,152,461,607
5/18/2007,139,461,607
5/19/2007,58,461,607
5/20/2007,51,461,607
5/21/2007,42,461,607
5/22/2007,198,461,607
5/23/2007,181,461,607
5/24/2007,178,461,607
5/25/2007,140,461,607
5/26/2007,55,461,607
5/27/2007,43,461,607
5/28/2007,202,461,607
5/29/2007,206,461,607
5/30/2007,148,461,607
5/31/2007,161,461,607
6/1/2007,119,461,607
6/2/2007,44,461,607
6/3/2007,35,461,607
6/4/2007,148,461,607
6/5/2007,151,461,607
6/6/2007,136,461,607
6/7/2007,152,461,607
6/8/2007,127,461,607
6/9/2007,52,461,607
6/10/2007,36,461,607
6/11/2007,163,461,607
6/12/2007,148,461,607
6/13/2007,120,461,607
6/14/2007,152,461,607
6/15/2007,119,461,607
6/16/2007,44,461,607
6/17/2007,43,461,607
6/18/2007,150,461,607
6/19/2007,142,461,607
6/20/2007,122,461,607
6/21/2007,145,461,607
6/22/2007,109,461,607
6/23/2007,45,461,607
6/24/2007,38,461,607
6/25/2007,158,461,607
6/26/2007,131,461,607
6/27/2007,119,461,607
6/28/2007,110,461,607
6/29/2007,90,461,607
6/30/2007,47,461,607
7/1/2006,34,463,607
7/2/2006,43,463,607
7/3/2006,46,463,607
7/4/2006,138,463,607
7/5/2006,115,463,607
7/6/2006,94,463,607
7/7/2006,76,463,607
7/8/2006,38,463,607
7/9/2006,47,463,607
7/10/2006,126,463,607
7/11/2006,113,463,607
7/12/2006,93,463,607
7/13/2006,79,463,607
7/14/2006,93,463,607
7/15/2006,54,463,607
7/16/2006,27,463,607
7/17/2006,117,463,607
7/18/2006,96,463,607
7/19/2006,82,463,607
7/20/2006,72,463,607
7/21/2006,97,463,607
7/22/2006,48,463,607
7/23/2006,48,463,607
7/24/2006,107,463,607
7/25/2006,109,463,607
7/26/2006,79,463,607
7/27/2006,89,463,607
7/28/2006,85,463,607
7/29/2006,31,463,607
7/30/2006,38,463,607
7/31/2006,98,463,607
8/1/2006,79,463,607
8/2/2006,73,463,607
8/3/2006,85,463,607
8/4/2006,58,463,607
8/5/2006,44,463,607
8/6/2006,35,463,607
8/7/2006,39,463,607
8/8/2006,101,463,607
8/9/2006,89,463,607
8/10/2006,93,463,607
8/11/2006,75,463,607
8/12/2006,54,463,607
8/13/2006,26,463,607
8/14/2006,108,463,607
8/15/2006,95,463,607
8/16/2006,89,463,607
8/17/2006,83,463,607
8/18/2006,78,463,607
8/19/2006,33,463,607
8/20/2006,31,463,607
8/21/2006,86,463,607
8/22/2006,83,463,607
8/23/2006,75,463,607
8/24/2006,124,463,607
8/25/2006,78,463,607
8/26/2006,42,463,607
8/27/2006,32,463,607
8/28/2006,91,463,607
8/29/2006,94,463,607
8/30/2006,74,463,607
8/31/2006,99,463,607
9/1/2006,91,463,607
9/2/2006,36,463,607
9/3/2006,35,463,607
9/4/2006,38,463,607
9/5/2006,97,463,607
9/6/2006,85,463,607
9/7/2006,96,463,607
9/8/2006,86,463,607
9/9/2006,41,463,607
9/10/2006,44,463,607
9/11/2006,98,463,607
9/12/2006,110,463,607
9/13/2006,86,463,607
9/14/2006,87,463,607
9/15/2006,92,463,607
9/16/2006,53,463,607
9/17/2006,36,463,607
9/18/2006,121,463,607
9/19/2006,90,463,607
9/20/2006,83,463,607
9/21/2006,96,463,607
9/22/2006,90,463,607
9/23/2006,64,463,607
9/24/2006,41,463,607
9/25/2006,103,463,607
9/26/2006,110,463,607
9/27/2006,97,463,607
9/28/2006,94,463,607
9/29/2006,87,463,607
9/30/2006,56,463,607
10/1/2006,34,463,607
10/2/2006,105,463,607
10/3/2006,111,463,607
10/4/2006,104,463,607
10/5/2006,117,463,607
10/6/2006,107,463,607
10/7/2006,37,463,607
10/8/2006,52,463,607
10/9/2006,46,463,607
10/10/2006,141,463,607
10/11/2006,95,463,607
10/12/2006,110,463,607
10/13/2006,87,463,607
10/14/2006,45,463,607
10/15/2006,46,463,607
10/16/2006,134,463,607
10/17/2006,110,463,607
10/18/2006,113,463,607
10/19/2006,129,463,607
10/20/2006,114,463,607
10/21/2006,66,463,607
10/22/2006,43,463,607
10/23/2006,126,463,607
10/24/2006,118,463,607
10/25/2006,89,463,607
10/26/2006,125,463,607
10/27/2006,90,463,607
10/28/2006,43,463,607
10/29/2006,46,463,607
10/30/2006,143,463,607
10/31/2006,107,463,607
11/1/2006,93,463,607
11/2/2006,134,463,607
11/3/2006,108,463,607
11/4/2006,49,463,607
11/5/2006,71,463,607
11/6/2006,135,463,607
11/7/2006,104,463,607
11/8/2006,112,463,607
11/9/2006,134,463,607
11/10/2006,107,463,607
11/11/2006,76,463,607
11/12/2006,53,463,607
11/13/2006,163,463,607
11/14/2006,139,463,607
11/15/2006,114,463,607
11/16/2006,110,463,607
11/17/2006,111,463,607
11/18/2006,65,463,607
11/19/2006,32,463,607
11/20/2006,136,463,607
11/21/2006,114,463,607
11/22/2006,119,463,607
11/23/2006,98,463,607
11/24/2006,101,463,607
11/25/2006,51,463,607
11/26/2006,32,463,607
11/27/2006,137,463,607
11/28/2006,109,463,607
11/29/2006,107,463,607
11/30/2006,105,463,607
12/1/2006,93,463,607
12/2/2006,60,463,607
12/3/2006,62,463,607
12/4/2006,137,463,607
12/5/2006,147,463,607
12/6/2006,134,463,607
12/7/2006,121,463,607
12/8/2006,96,463,607
12/9/2006,61,463,607
12/10/2006,48,463,607
12/11/2006,140,463,607
12/12/2006,103,463,607
12/13/2006,124,463,607
12/14/2006,131,463,607
12/15/2006,132,463,607
12/16/2006,50,463,607
12/17/2006,71,463,607
12/18/2006,149,463,607
12/19/2006,139,463,607
12/20/2006,126,463,607
12/21/2006,113,463,607
12/22/2006,146,463,607
12/23/2006,99,463,607
12/24/2006,37,463,607
12/25/2006,30,463,607
12/26/2006,70,463,607
12/27/2006,134,463,607
12/28/2006,160,463,607
12/29/2006,106,463,607
12/30/2006,100,463,607
12/31/2006,65,463,607
1/1/2007,50,463,607
1/2/2007,184,463,607
1/3/2007,136,463,607
1/4/2007,140,463,607
1/5/2007,110,463,607
1/6/2007,79,463,607
1/7/2007,59,463,607
1/8/2007,142,463,607
1/9/2007,133,463,607
1/10/2007,143,463,607
1/11/2007,118,463,607
1/12/2007,81,463,607
1/13/2007,60,463,607
1/14/2007,42,463,607
1/15/2007,126,463,607
1/16/2007,129,463,607
1/17/2007,122,463,607
1/18/2007,137,463,607
1/19/2007,103,463,607
1/20/2007,70,463,607
1/21/2007,39,463,607
1/22/2007,147,463,607
1/23/2007,124,463,607
1/24/2007,128,463,607
1/25/2007,121,463,607
1/26/2007,104,463,607
1/27/2007,53,463,607
1/28/2007,49,463,607
1/29/2007,143,463,607
1/30/2007,118,463,607
1/31/2007,128,463,607
2/1/2007,132,463,607
2/2/2007,86,463,607
2/3/2007,52,463,607
2/4/2007,52,463,607
2/5/2007,151,463,607
2/6/2007,130,463,607
2/7/2007,116,463,607
2/8/2007,107,463,607
2/9/2007,90,463,607
2/10/2007,54,463,607
2/11/2007,57,463,607
2/12/2007,125,463,607
2/13/2007,113,463,607
2/14/2007,110,463,607
2/15/2007,107,463,607
2/16/2007,97,463,607
2/17/2007,80,463,607
2/18/2007,67,463,607
2/19/2007,135,463,607
2/20/2007,122,463,607
2/21/2007,130,463,607
2/22/2007,129,463,607
2/23/2007,105,463,607
2/24/2007,82,463,607
2/25/2007,43,463,607
2/26/2007,125,463,607
2/27/2007,133,463,607
2/28/2007,132,463,607
3/1/2007,110,463,607
3/2/2007,84,463,607
3/3/2007,93,463,607
3/4/2007,51,463,607
3/5/2007,170,463,607
3/6/2007,133,463,607
3/7/2007,138,463,607
3/8/2007,114,463,607
3/9/2007,133,463,607
3/10/2007,66,463,607
3/11/2007,35,463,607
3/12/2007,135,463,607
3/13/2007,118,463,607
3/14/2007,121,463,607
3/15/2007,109,463,607
3/16/2007,95,463,607
3/17/2007,70,463,607
3/18/2007,47,463,607
3/19/2007,146,463,607
3/20/2007,126,463,607
3/21/2007,131,463,607
3/22/2007,130,463,607
3/23/2007,94,463,607
3/24/2007,63,463,607
3/25/2007,37,463,607
3/26/2007,139,463,607
3/27/2007,101,463,607
3/28/2007,102,463,607
3/29/2007,105,463,607
3/30/2007,100,463,607
3/31/2007,76,463,607
4/1/2007,35,463,607
4/2/2007,142,463,607
4/3/2007,107,463,607
4/4/2007,86,463,607
4/5/2007,117,463,607
4/6/2007,34,463,607
4/7/2007,75,463,607
4/8/2007,55,463,607
4/9/2007,110,463,607
4/10/2007,94,463,607
4/11/2007,98,463,607
4/12/2007,95,463,607
4/13/2007,106,463,607
4/14/2007,63,463,607
4/15/2007,49,463,607
4/16/2007,149,463,607
4/17/2007,97,463,607
4/18/2007,107,463,607
4/19/2007,88,463,607
4/20/2007,90,463,607
4/21/2007,43,463,607
4/22/2007,37,463,607
4/23/2007,130,463,607
4/24/2007,125,463,607
4/25/2007,90,463,607
4/26/2007,97,463,607
4/27/2007,77,463,607
4/28/2007,46,463,607
4/29/2007,42,463,607
4/30/2007,116,463,607
5/1/2007,104,463,607
5/2/2007,77,463,607
5/3/2007,91,463,607
5/4/2007,74,463,607
5/5/2007,38,463,607
5/6/2007,42,463,607
5/7/2007,96,463,607
5/8/2007,103,463,607
5/9/2007,74,463,607
5/10/2007,88,463,607
5/11/2007,86,463,607
5/12/2007,52,463,607
5/13/2007,38,463,607
5/14/2007,110,463,607
5/15/2007,91,463,607
5/16/2007,97,463,607
5/17/2007,92,463,607
5/18/2007,83,463,607
5/19/2007,57,463,607
5/20/2007,23,463,607
5/21/2007,23,463,607
5/22/2007,121,463,607
5/23/2007,97,463,607
5/24/2007,114,463,607
5/25/2007,99,463,607
